73,1275619950298
77,31452345255167
26,813736498428874
5,282146301213608
65,3078183064714
64,68391368692218
15,44293558688653
63,43532796232455
73,1854651120788
74,86222815132164
18,551089512044516
3,988023888994585
64,57052241335613
64,61611677652523
6,0996455636726505
63,813042399935036
94,84631924522027
55,892535743972324
69,66061056754535
81,6160306840954
6,028358158098534
2,6103906217152306
45,26943334450897
80,86023782872354
97,2250308847015
23,6601413463046
3,544907573965772
0,23694172473809338
23,16012824486674
78,53576842285086
30,655812377848058
38,01928958035196
62,12363347781786
55,208876884672996
98,50192715846184
65,19858446323066
22,863882219027133
8,169334379276982
44,61709751915707
42,58018340957942
45,063846833779195
21,538826119478728
16,07129180503073
52,94785035599768
26,39243348075233
9,747742003654547
73,12383641999031
49,759252698618106
55,35938539034666
67,02670930825848
14,524833578396656
8,633428832145595
23,4758878816125
52,79934246390263
73,62471597226593
88,3685968668332
30,494289561990197
99,11778606877638
53,03824315123862
9,51318832004182
79,65679914122454
39,460481866738775
83,51620496594002
13,883698154459578
99,87855726663209
53,140965424421616
35,090121057074384
84,22890719086796
38,40600145762113
28,823402559175815
3,2533530006344624
45,151897988668324
15,127250926999004
22,003093130147843
70,147693501057
20,21748161602398
27,77757094277846
60,657590282114136
70,66228844336399
59,983361688372824
33,725585812293744
83,77742241685185
93,86018474706171
88,33833879488839
50,71887517116388
26,13081946319067
82,00543701185556
41,33054829031232
34,24259152664787
29,12183840868424
76,53626382111622
23,101370524851518
17,550997004297496
11,144588588797122
31,30895672870385
29,15646546720606
78,87463402618243
48,99673891595269
55,77972350466703
94,97674990562098
33,65385665463766
93,63713153365825
81,1399417783727
78,03956479598689
36,85811094582703
88,80918097343802
31,013248240125435
0,5930812878426228
94,01382977476243
94,76001722463775
52,072663480029924
29,698756701301743
40,99254614755829
24,47297941559211
96,29080828620191
81,35466452594888
74,55722284657297
52,12537136149573
99,59144231465379
12,846556032826273
8,00871574815627
20,980496405416062
20,249937535876573
88,39276011574132
38,6133366836389
5,776753355412567
15,17984190572983
90,02241905193299
73,606428320837
75,02749476269537
13,480781429058087
98,74398250009519
94,9027968502007
40,210403722349106
42,73107626515128
19,63202459465355
92,68912753381714
88,05673967655007
2,7912502430923247
46,739030102619914
7,753869057546892
7,166439662801571
67,29294463783827
50,45335377057298
64,27591883479967
28,28929657299509
34,35420991373353
29,261030679386522
75,9595477101228
76,96322419130694
65,37500364642624
18,876190596137654
89,50175054246182
91,25595154019463
41,09421239596247
49,75960045013701
96,01668919335387
96,05587372704933
95,35714683548544
51,25119525311585
33,38082211232798
95,56586316120034
57,80351611574102
98,19427881977691
27,260786298702744
63,25313242512238
52,123188686548126
80,32050765969859
29,632199078253898
89,61139617488271
1,4283205057007864
25,13530259108585
37,30979328538946
57,1035734258251
78,1162218100097
50,39440041579114
15,765831578001432
